99,,
vuma,,
pliliya,,
panda,chia mbegu,
,,
nkulima,,
tini,ithi,
zeituni,dheituni,
mkonge,nkonge,
msufi,nsufi,
muhogo,,
buru,nchama,
nchicha,,
nnavu,,
nrenda,,
mbuyu,mbocho,
ubuyu,,
fenesi,ifenesi,
kunadhi,,
fufu,,
dhambarau,,
kitoria,,
bungo,,
benda,,
dania,,
kotimiri,,
kichunguu mayi,,
kichunguu saumu,kichunguu thaumu,
nlonje,chamacha,
chamacha a nkebe,,
kiadhi,,
mikoko,nkoko,makoko
muhembe,,
mkunadhi,,
nnadhi,,
ngomba,,
nkilifi,,
nzambarau,,
mbibo,,
mbibo,,
mwasimini,,
mluwa,,
muwaridi,,
machumba ya mawaridi,,
iliki,,
mandano,,
karafuu,nkarafuu,
mkarafuu,nkarafuu,
,,
mvumbani,mvumbani,
tepekudhi,,
mkungu,nkungu,
kungu,,
dhambarau,,
ndalasini,,
pilipili duka,,
koma manga,,
mbaadhi,,
nkunde,,
dengu,,
ngano,,
pojo,,
pilipili,,
pilipili boga,,
iyungu,,
kichango,,
chikichi,ichikichi,
papayu,ipapai,
ndizi,,
ihembe,,
ikuchi,,
ng'ongo,,
miyaa,,
nadhi,,
nnadhi,,
dafu,idafu,
kitale,,
mbirimbi,,
zatari,,
giligilani,,
haba soda,,
kibatali ,,
ikoma,,