51,,,
ntungi,,,
upeo,,,
chungu,,,
,,,
chechedho,,,
mwiko,,,
upawa,,,
"sufuria, chungu",,,
jaro,,,
sahani,,,
bilauri,kikombe,kikopwa,ikopwa
sini,,,
tungiyo,,,
kitujiyo,,,
upawa,,,
siniya,,,
bakuli,,,
glasi ya kunwiya mai,bilauli,,
upawa,,,
kijiko,,,
uma,,,
kijiko cha shai,,,
kisahani,,,
jagi,ijagi,,
buli la shai,,,
tupa ya shai,tupa a shai,,
tupa,kinoo,,
,,,
kamisi,,,
sidiriya,,,
kandu,,,
leso,,,
taa,,,
kandili,,,
kibahalulu,,,
mshumaha,nshumaa,,
shati,,,
padhiya,,,
nto,ncho,,
foronya,,,
betshiti,burangeti,,
,,,
tupa,kinoo,,