52,,
Maji yapu,,
Maji yajaa,,
Kina cha maji,,
Maji makubwa,,
ufuo,,
pwa,,
mwamba,,
mvuvi,,
samaki,,
,,
hasia,,
kuwavo,,
tangu,,
mkundaji,,
nguru,,
papa,,
,,
kuvunda,,
kwelea,,
zama,,
lulu,,
chaza,,
kaa,,
kasa,,
pweza,,
,,
sim,,
ndoana,,
chombo,,
,,
kogolea,,
omo,,
jahazi,,
meli,,
Dau,mtumwi,ngalawa
,,
tezi,,
,,
tanga,,
ndoana,,
Oza,chacha,
nyongo,,
mwiba,,
kupara,,
vumba,,
mto,,
Maji matamu,,
Maji ya chuvi,,
ziwa,,
bahari,,
,,
Maji ya bahari,,
mawimbi,,
kuchafuku,,
Shuwari,kutulii,