323,,,,,,
ghafla,,,,,,
kali,,,,,,
enye kupendeza,ya kupendeza,,,,,
enye kupendeza,,,,,,
kufurahishwa,kutekeshwa,,,,,
a wastani,wastani,,,,,
mwenda wazimu,mwehu,kichaa,,,,
kuchoka,,,,,,
shujaa,jasiri,,,,,
enye kung'ara,erevu,,,,,
pana,enye kuenea mahali pakubwa,,,,,
changamfu,-cheshi,-enye bashasha,-enye haiba,,,
fidhuli,safihi,,,,,
changamfu,mteshiteshi,,,,,
kidingidingi,tipwatipwa,nenenene,-lojazajaza,,,
swafi,safi,twahara,tohara,-eupe,-so na hatia,-enye udhu
wazi,-eupe,,,,,
kumetanda,kumefunga,,,,,
ilopinda,-sionyoka,-enye matege,-so aminifu,,,
katili,qatili,,,,,
-zito,,,,,,
"pinda, kundwa",,,,,,
mwenye ubinafsi,-enye dhana mbaya kuhusu watu,kata tamaa kuhusu utu wa watu,,,,
-a hatari,-enye kudhuru,,,,,
-changamfu,-enye uhai,,,,,
ilooza,iloharibika,,,,,
-rongo,mlaghai,,,,,
-enye kina,-refu,a kina,,,,
shindwa,vundika moyo,,,,,
kisunzi,,,,,,
bila furaha au bashasha,,,,,,
choka,charara,parara,,,,
-lofifia,-sopendeza,-sopata,ya mbali ,,,
-enye hamu,moyo,shauku,,,,
-a madaha,maridadi,,,,,
-konda,kondeana,kifefe,,,,
tahayari,aibika,,,,,
-a kuvutiya,,,,,,
-enye nguvu,bidii,juhudi,,,,
-a kupendeza,dhana,wazo,,,,
-a ajabu,-zuri,,,,,
-kali ,katii,-a nguvu,,,,
-chafu,,,,,,
"sawasawa, bapa,urapa(antupikia mahamri urapa. An'yasukuma sana)",,,,,,
"-legevu, laini",,,,,,
pepeya,,,,,,
"pumbavu, -jinga (mjinga)",,,,,,
-enye hofu,-enye khofu,taataa ,,,,
mpya,kutoonyesha uchovu,,,,,
-a kirafiki,-ema,-a tayari kusaidiya,,,,
-pole,latifu,mteremko uso mkali,-ungwana,,,
-a kutisha,-enye kutisha,kutusha,-a ovyo,siopendeza,,
kisunzi,-so na makini,-so na msimamo,,,,
pandikizi la,,,,,,
-enye haiba,mvuto,-rembo,enye kuvutia,pendeza,,
-metameta,meremeta,,,,,
-tukufu,adhwimu,adhwimu,,,,
-zuri sana,-a kupendeza,,,,,
-enye madaha,-zuri,,,,,
-enye mafuta,,,,,,
-enye huzuni,kuwa na huzuni ya,,,,,
tembetembe,,,,,,
-tisha,,,,,,
-enye afya,,,,,,
kufaa,kusaidia,,,,,
mnyonge,hana msaada wowote,,,,,
juu,,,,,,
-enye tundu,shimo,,,,,
-zuri,,,,,,
-tisha,,,,,,
kubwa,,,,,,
-enye ndaa,-sikiya ndaa ,ubao,,,,
- enye kuumiza,,,,,,
zizima,baridi,,,,,
muwafaka,ilo bora,,,,,
-enye kukasirika,-enye hasira,,,,,
-washa,,,,,,
wivu,,,,,,
wasiwasi,,,,,,
mteshi,,,,,,
,,,,,,
muwafaka,ilo bora,,,,,
mteshi,,,,,,
-enye furaha,,,,,,
vutia,,,,,,
wasiwasi,,,,,,
-enye huruma,,,,,,
hatari,-a kuuwa,,,,,
-enye bahati,,,,,,
-tekesha,mteshi,puuzi,,,,
mato,,,,,,
nyembamba,-embamba,,,,,
mbaya,,,,,,
-tukutu,,,,,,
kuwa na wasiwasi,,,,,,
wazimu,mwenda wazimu,mwenda zimu,,,,
-kamilifu,,,,,,
shangaa,,,,,,
ndogo,,,,,,
ndogo,-penda kutafuta muhali,mtaka huja,,,,
uwanda,tambarare,-a kawaida,dhahiri,wazi,,
-a kufurahisha,nzuri,pendeza,,,,
tulivu,makini,mwenye kujiamini,,,,
kujitwaza,ajitwaza,kujiona,-jiona,-enye majivuno,kujidai,
-a tunu,-a thamani,,,,,
-enye kuudhika haraka,-enye kasirika haraka,,,,,
-enye kiburi,penda fakhari,penda fahari,,,,
yenye harufu kali,,,,,,
dhaifu,,,,,,
iso ya kawaida,,,,,,
tulizwa,pozwa,hakikishiwa,,,,
saidiwa,rahisishiwa,farijiwa,,,,
-tusha,kirihi,-baya,,,,
,,,,,,
iva,,,,,,
imara,,,,,,
oza,haribika,,,,,
kidingidingi,uso wa mviringo,,,,,
-a kukwaruza,-enye mashimo,,,,,
-a duara,-a mviringo,,,,,
yenye chumvi nyingi,zidi chumvi,,,,,
-enye,-a kejeli,-a piga kijembe,,,,
adimu,chache,kidogo,,,,
nyele matimtim,,,,,,
dhaifu,tetema ,,,,,
kijuu juu,,,,,,
-enye makali,,,,,,
ng'ara,,,,,,
fupi,,,,,,
laini,,,,,,
-pumbavu,-puuzi,,,,,
-embamba,,,,,,
-a kuteleza,,,,,,
-teleza,,,,,,
-tamu,,,,,,
kidiku,kidogo,kijidogo,,,,
laini,,,,,,
kakamaa,-a kudinda,wasiwasi,ilokazwa,,,
-a kuogofya,tisha,sumbufu,baya,ovyo,,
kuwa na hamaki,kasirika kwa haraka,-epesi kukasirika,kali,,,
-enye shukrani,-enye kushukuru,,,,,
nene,pana,zuzu,bongo zito,,,
"ilokazwa, kilichokazwa",,,,,,
wakati ufaao,kuwa na miadi,fanya mambo kwa wakati ufaao,,,,
-tega,tatiza,danganyifu,gumu,,,
-a kawaida,iso na upya wowote,,,,,
chofu,-a dalili ya kuchoka/uchovu,,,,,
mteshi,pumbavu,puuzi,,,,
-enye jadhba,,,,,,
mchangamfu,kuwa miresi,,,,,
kirango,,,,,,
bafuta,,,,,,
mtwazo,,,,,,
hamnazo,,,,,,
ondo,,,,,,
singa,,,,,,
koto,,,,,,
kipilipili,,,,,,
-enye pua ya upanga,,,,,,
-enye mashikio makubwa,,,,,,
bakhili,,,,,,