316,,,
si,sio,,
pia,,,
sana,,,
mara nyingi,,,
hata hivyo,hata hivo,,
pia,kadhalika,,
kawaida,aghalabu,,
haswa,kweli,,
mapema,,,
kamwe,abadan,abadan qatwaan ,
kila mara,,,
saa zengine,mara nyingine,,
pamoja,,,
huenda ikawa,kuna uwezekano wa,yamkinika,
tu,,,
kwa kawaida,aghalabu,,
badili ya-,,,
kweli,kwa hakika,,
tena,,,
afadhali,,,
karibu,,,
haswa,hususan,,
kila siku,daima dawamu,daima,
kwa haraka,,,
pengine,,,
tayari,,,
tini ya,,,
moja kwa moja,,,
kwa hivyo,kwa hivo,,
mwengine,,,
hivyo,,,
kwa urahisi,,,
khatimaye,mwisho wa kwisha,,
haswa,,,
bila shaka,kwa hakika,,
kawaida,aghalabu,,
hivi sasa,kwa sasa,,
sana,kupita kiasi,,
mwishowe,,,
mara kwa mara,daima,,
kisawasawa,,,
hivi karibuni,,,
haswa,,,
mbele,,,
kula siku,kila siku,,
sana,,,
papo hapo,mara moja,,
kiasi,,,
polepole,,,
kwa usawa,kwa kiasi,,
kimsingi,,,
kwa ukamilifu,,,
khatimaye,hatimae,mwisho wa kwisha,
sana,,,
hivi karibuni,,,
kwa umakini,vibaya,,
mara kwa mara ,,,
kwa ukamilifu,kikamililfu,,
kwa kawaida,haswa,,
kwa kawaida,,,
takriban,karibu,,
mara kwa mara,,,
kwa makini,,,
kwa uwazi,,,
umuhimu,,,
uwezekano,,,
kidogo,,,
kiasi flani,,,
kwa usawa,,,
sana,,,
lazima,,,
binafsi,,,
nadra,,,
mara kwa mara,kawaida,,
vile vile,,,
kimsingi,,,
karibu,,,
kwa ufanisi,,,
awali,mwanzo,,
,,,
haswa,,,
tu,,,
kwa upole,,,
pengine,,,
awali,,,
takriban,,,
kwa kiasi kikubwa,,,
kabisa,kabsa,,
maradufu,,,
kwengineko,,,
kila pahali,,,
bila shaka,,,
,,,
,,,
,,,
ghafla,,,
kweli,kwa hakika,,
,,,
,,,
hata hivyo,,,
moja kwa moja,,,
,,,
,,,
kwa maksudi,,,
vigumu,kwa nadra,,
kwa urahisi,,,
sana,,,
kwa bahati mbaya,,,
nde,,,
kwa ufupi,,,
fauka ya ,,,
kwa nguvu,,,
kwa uaminifu,,,
kabla,,,
kama,,,
hapo,,,
lini,,,
vipi,,,
kwa hivyo,,,
juu,,,
nde,,,
hapana,,,
pekee,,,
vizuri,,,
basi,,,
kwanza,wa kwanza,,
wapi,,,
kwa nini,mbona,,
saa hivi,,,
pande zote,kuzunguka,kila pahali,
tini ,,,
mbali,,,
hapa,,,
usiku wa leo,,,
mbali,,,
leo,,,
mbali,,,
kabisa,,,
baadae,,,
juu,,,
bado,,,
pengine,labda,,
,,,
karibu,,,
mbele,,,
pahali fulani,pahali flani,,
popote,,,
tafadhali,,,
"daima dawamu, milele",,,
kwa namna fulani,,,
kabisa,kabsa,,
ng'ambo,,,
naam,,,
si pahali popote,,,
kesho,tukijaaliwa,,
jana,,,
ya,,,
,,,
,,,
katika,,,
juu ya,,,
kwa,,,
zaidi,,,
kuhusu,,,
kama,,,
kupitia,,,
mpya,,,
tu,,,
yoyote,yeyote,,
kila,kula,,
sana,mengi,,
kabla,,,
kati ya,,,
huru,,,
sawa,haki,,
bora zaidi,,,
tangu,,,
zote mbili,,,
hakika,,,
bila ya,,,
kitambo,zamani,,
bora,,,
tosha,,,
-ingi ,,,
ndogo,,,
ingawa,,,
kiasi kidogo,,,
-dogo ,,,
tini ya,,,
ijayo,,,
ngumu,,,
halisi,,,
kushoto,,,
angalau,,,
kwa ufupi,,,
mwisho,,,
ndani,,,
pamoja na-,,,
tini,,,
kweli,,,
-baya,,,
upande wa pili,,,
wazi,,,
rahisi,,,
kamili,,,
karibu,,,
kwa kuchelewa,,,
sawa,,,
haraka,upesi,,
pana,,,
kitu,,,
vibaya,,,
ilopita,,,
nyumba,,,
haraka,,,
mara moja,papo hapo,bila kukawia,-aminifu
moja kwa moja,,,
ziada,,,
asubuhi,,,
nzuri,,,
kwa ujumla,,,
peke yake,,,
yenye kung'ara,,,
,,,
chochote,,,
polepole,,,
swafi,,,
,,,
wakti wowote,,,
bei nafuu,iso na thamani,rahisi,kwa bei ya kutupa
-embamba,dhaifu,,
tulivu,tulia,,
haki,,,
sawa,-zuri,-a kupendeza,
laini,,,
urongo,,,
nene,,,
kusanya,,,
karibu,,,
-a mwitu,-iso makini,,
kando,chemba,mbali,
hakuna,bila,,
ajabu,iso ya kawaida,,
mtalii,,,
kwa siri,faraghani,pembeni,kando
kwa sauti ya juu,kwa kelele,,
bora,kupita kiasi,pendeza,
ilokazwa ,,,
tukiza,jumla,,
-gonjwa,umwa,,
,,,
-aminifu,,,
sawa,,,
swali,,,
kila wiki,,,