269,475,(words and phrases),,,,
Pokea,kubali,kiri,rizia,,,
Soza,maliza,timiza,fanikisa,,,
Ruhusu,tia,pisha,twaa,kiri,ungama,kubali kosa
Gota,hisi,,,,,
Weza,,,,,,
Kubali,kiri,,,,,
ruhusu,,,,,,
Jibu,itika,,,,,
Tumia,,,,,,
hoji,,,,,,
Panga,,,,,,
fika,,,,,,
Uliza,,,,,,
Epuka,kwepa,,,,,
kuwa,,,,,,
anza,,,,,,
Amini,sadiki,,,,,
jenga,,,,,,
nunua,,,,,,
ita,,,,,,
Jail,tunza,,,,,
twaa,,,,,,
shika,,,,,,
sababisha,,,,,,
Gauza,,,,,,
Kagua,angalia,,,,,
Chaguwa,,,,,,
Safisha,pangusa,futa,,,,
Safisha,,,,,,
Kushanya,,,,,,
Kuja,nnjo,,,,,
Lalamika,,,,,,
Kamilisa,,,,,,
Jumuisa,,,,,,
Kuwa na,,,,,,
Endelea,,,,,,
changa,,,,,,
Dhibiti,,,,,,
Sahihisa,rekebisa,,,,,
harama,,,,,,
Weza,mudi,kidiri,,,,
Umba,,,,,,
Vuka,kata,,,,,
Kata,,,,,,
Haribu,fuja,,,,,
shughulikia,,,,,,
Fisa,,,,,,
Kana,kata,,,,,
Tegemea,,,,,,
Eleza,,,,,,
Haribu,angamiza,,,,,
unda,,,,,,
Toweka,,,,,,
Vumbua,,,,,,
Fanya,,,,,,
Vaa,,,,,,
Kunwa,,,,,,
Endesa,,,,,,
Kulya,,,,,,
Tia moyo,,,,,,
Furahia,,,,,,
Kuwapo,,,,,,
Tarajia,,,,,,
Uzowefu,,,,,,
Eleza,,,,,,
Eleza,,,,,,
Uso,,,,,,
Kugwa,,,,,,
Hisi,,,,,,
Zinga,tafuta,,,,,
Soza,,,,,,
Euka,,,,,,
Fuata,enza,,,,,
Sahau,,,,,,
Sammehe,,,,,,
Unda,,,,,,
Pata,,,,,,
Toa,mpe,,,,,
Kwenda,,,,,,
Kuwa,,,,,,
Tokea,,,,,,
Kuwa na,,,,,,
Sikia,,,,,,
Sedia,,,,,,
Ficha,,,,,,
Shikilia,,,,,,
Matumaini,,,,,,
Jaalia,,,,,,
Boresha,,,,,,
Ongeza,,,,,,
Athiri,shawishi,,,,,
Ambia,,,,,,
Alika,,,,,,
Husisha,,,,,,
Unganisha,ungana,,,,,
ika,tunza,,,,,
ju,,,,,,
Maliza,mwisho,,,,,
Cheka,,,,,,
Jifunza,,,,,,
Uka,ondoka,,,,,
Kopesa,,,,,,
Taka,,,,,,
Zuia,,,,,,
Sikiliza,,,,,,
Ishi,,,,,,
Tizama,chunza,,,,,
Penda,taka,,,,,
Tengeza,fanza,,,,,
,,,,,,
Maanisa,,,,,,
Pima,,,,,,
Kutana,,,,,,
Taja,,,,,,
Jali,akili,,,,,
Sogea,,,,,,
Lazima,,,,,,
Taka,hitaji,,,,,
Mpa,shusha bei,,,,,
Funguwa,,,,,,
Agiza,,,,,,
Miliki,,,,,,
Lipa,,,,,,
Tenda,fanya,,,,,
Cheza,,,,,,
Oteza kidole,,,,,,
Radua,,,,,,
Tayarisha,,,,,,
Bofya,,,,,,
Kinga,,,,,,
Zalisha,,,,,,
Linda,,,,,,
Toa,avya,,,,,
Sukuma,suta,,,,,
Fika,,,,,,
Soma,,,,,,
Pokea,pata,,,,,
Ika kumbukumbu,,,,,,
Punguza,,,,,,
Zingatia,,,,,,
Husisha,,,,,,
Achilia,,,,,,
Kumbukumbu,,,,,,
Towa,usha,,,,,
Rudia,,,,,,
Badili,,,,,,
Jibu,,,,,,
Arifu,,,,,,
Matokeo,,,,,,
Rudisha,,,,,,
Dhihirisha,,,,,,
Panda,angaza,,,,,
Piga mbio,,,,,,
Okoa,nusuru,,,,,
Tongoa,sema,,,,,
Ona,kona,,,,,
Uza,uliza,,,,,
Tuma,pilikia,,,,,
Seti,panga,,,,,
Changiana,hisa,,,,,
Piga mpira,,,,,,
Onesa,,,,,,
Kwimba,,,,,,
Kaa,keti,,,,,
Lala,,,,,,
,,,,,,
Mwemuka,tabasamu,,,,,
Piga kyasa,,,,,,
Sauti,,,,,,
Zungunza,,,,,,
Simama,,,,,,
Anza,,,,,,
Sema,,,,,,
Talii,,,,,,
Fanikiwa,,,,,,
Pendekeza,,,,,,
Eneza,,,,,,
Chukulia,,,,,,
Nusurika,,,,,,
Fyagia,,,,,,
Twaa,,,,,,
Tongoa,,,,,,
Ambia,,,,,,
Huwa,,,,,,
Fikiria,,,,,,
Lenga,,,,,,
Shika,gota,,,,,
Funza,,,,,,
Safari,,,,,,
Tibu,ganga,,,,,
Jaribu,,,,,,
Gauza,,,,,,
Tambua,,,,,,
Tumia,,,,,,
Tembelea,,,,,,
Ngoja,,,,,,
Taka,,,,,,
Tembea,,,,,,
Chunza,tizama,,,,,
Shinda,,,,,,
Shangaa,,,,,,
Andika,,,,,,
Kanda,,,,,,
,,,,,,
karanga,,,,,,
Singa,,,,,,
Piga pasi,kyuma,,,,,
Choma,pisa,,,,,
Buruta,,,,,,