81,
Vuna,
Palilia,
Panda,
Nokoa,
Mkulima,
Tini,
Zeituni,
Katani,mkonge
Msufi,
Mhogo,
mhindi,
mchicha,
mnafu,
mrenda,
mbuyu,
mibuyu,
fenesi,
kunazi,
fufu,
zambarau,
,
bungo,
binda,
dania,
kotimiri,
kitunguu maji,
kitunguu saumu,
tamata,
tamata ya mkebe,
kiazi,
mkoko,
mwembe,
mkunazi,
mnazi,
mgomba,
mkilifi,
mzambarau,
mkorosho,
mkanju,
yasmini,
mluwa,
uaridi,
matumba ya mauaridi,
iliki,
mandano,
karafuu,
mkarafuu,
mrehani,
kivumbani,
tepekuzi,
mkungu,
kungu,
zambarau,
mdalasini,
pilipili manga,
koma manga,
Mbaazi,
Mkunde,
Dengu,
Ngano au shayiri,
Pojo,
Pilipili,
Pilipili boga,
Tango,
Kitango pepeta,
Tikiti,
Papai,
Ndizi,
Embe,
Kuti,
Ngoge,
Minyaa,
Nazi,
Mnazi,
Dafu,
Kitale,
Mbirimbi,
Zatari,
Giligiliani,
Habati soda au magadi soda,
Kimumunye,