284,,,,,,,
Pokea,Kubali,Kiri,Ridhia*,,,,
Maliza,faulu,timiza,fanikisha,,,,
Ruhusu,ingiza,pitisha,chukua (kuwa na nafasi ya -mfano hoteli inachukua watu 50),laza *(ugonjwa- may not be right for Agric and Finance),kiri,ungama*,kubali kosa*
Athiri,gusa,hisi*,,,,,
kumudu,,,,,,,
kubali,,,,,,,
kuruhusu,,,,,,,
jibu,,,,,,,
omba,tumia,paka,,,,,
bishana,,,,,,,
panga,,,,,,,
kuja ,,,,,,,
uliza,,,,,,,
epuka,,,,,,,
kuwa ,*anza kuwa*,,,,,,
anza,,,,,,,
amini,,,,,,,
jenga,,,,,,,
nunua,,,,,,,
kuita,kupiga simu,,,,,,
jali,,,,,,,
beba,,,,,,,
shika,Kamata,,,,,,
sababisha,,,,,,,
badilisha,,,,,,,
kagua,,,,,,,
chaguwa,,,,,,,
ondoa. ,,,,,,,
safisha,,,,,,,
okota,kusanya,,,,,,
kuja,,,,,,,
lalamika,,,,,,,
maliza,kamilisha,,,,,,
jumuisha,,,,,,,
kuwa na,,,,,,,
endelea,fululiza,,,,,,
changa,changia,,,,,,
dhibiti,,,,,,,
kurekebisha,,,,,,,
bei. gharama. ,,,,,,,
weza,,,,,,,
unda. umba. *sababisha e.g...create tension,,,,,,,
vuka. ,,,,,,,
kata,,,,,,,
haribu,,,,,,,
kabiliana,shughulikia,,,,,,
peleka,timiza ahadi,,,,,,
kana,kataa,,,,,,
tegemea,,,,,,,
eleza,,,,,,,
haribu,,,,,,,
tengeneza,,,,,,,
potea,,,,,,,
gundua,,,,,,,
fanya,,,,,,,
vaa. ,,,,,,,
kunywa,,,,,,,
endesha,,,,,,,
kula,,,,,,,
himiza,,,,,,,
furahia,,,,,,,
kuwa,,,,,,,
tarajia,,,,,,,
uzoefu.,,,,,,,
eleza,,,,,,,
kueleza,kuonyesha ,,,,,,
uso,kabiliana na ,,,,,,
anguka ,,,,,,,
hisi,,,,,,,
tafuta,,,,,,,
maliza,,,,,,,
ruka ,,,,,,,
fuata,andamana,,,,,,
sahau,,,,,,,
samehe,,,,,,,
unda. ,,,,,,,
pata,,,,,,,
toa,patiana,,,,,,
enda,,,,,,,
kuwa,kuza,kosa subira ,,,,,
tokea,,,,,,,
kuwa na,,,,,,,
sikia,,,,,,,
saidia,,,,,,,
ficha,,,,,,,
shikilia,,,,,,,
tumaini,,,,,,,
Fikiria,,,,,,,
boresha,,,,,,,
zidisha,ongeza,,,,,,
athiri,shawishi,,,,,,
arifu,juza,,,,,,
alika,,,,,,,
husisha,,,,,,,
ungana,unganisha,unga,,,,,
weka,hifadhi,,,,,,
jua,,,,,,,
mwisho,dumu,,,,,,
cheka,,,,,,,
jifunza,,,,,,,
acha,pumzika,,,,,,
kopesha,,,,,,,
penda,,,,,,,
kikomo,dhibiti,,,,,,
kusikiliza,,,,,,,
ishi,mubashara,,,,,,
angalia,tazama,,,,,,
penda,,,,,,,
tengeneza,,,,,,,
jalisha,,,,,,,
maanisha,wastani,,,,,,
pima,,,,,,,
kutana,patikana na,,,,,,
taja,,,,,,,
jali,zingatia,,,,,,
songa,ondoa,,,,,,
lazima,,,,,,,
haja,,,,,,,
kumpa,,,,,,,
fungua,,,,,,,
agiza,amrisha,,,,,,
miliki,,,,,,,
lipa,zuru ,,,,,,
fanya kazi,Tenda,tumbuiza,,,,,
kucheza,mchezo wa kuigiza,,,,,,
kuelekeza,hoja,mahali,,,,,
kupendelea,,,,,,,
kutayarisha,,,,,,,
kubonyeza,kufinya,,,,,,
kuzuia,,,,,,,
kuzaa,mazao,kutoa ,,,,,
kulinda,,,,,,,
kutoa,kupatiana,,,,,,
kusukuma,,,,,,,
kufika,,,,,,,
kusoma,,,,,,,
kupokea,kupata,,,,,,
kuandika,kurekodi,,,,,,
kupunguza,,,,,,,
heshima,,,,,,,
kuhusisha,,,,,,,
kuachilia ,,,,,,,
kukumbuka,,,,,,,
kutoa ,,,,,,,
kurudia,,,,,,,
kubadilisha,,,,,,,
kujibu,,,,,,,
,,,,,,,
"matokeo, sababisha",,,,,,,
rudi,kurudhisha,faida ,,,,,
kuonyesha,kudhihirisha,kufichua,,,,,
kupanda,kuchomoza jua,,,,,,
kukimbia,kuendesha biashara,,,,,,
kuokoa,kunusuru,kuweka ,,,,,
kusema,,,,,,,
kuona ,,,,,,,
kuuza,,,,,,,
kutuma,,,,,,,
kuweka,,,,,,,
kugawa,hisa ,,,,,,
piga,,,,,,,
kuonyesha,,,,,,,
kuimba,,,,,,,
kukaa,,,,,,,
kulala,,,,,,,
,,,,,,,
kutabasamu,,,,,,,
kuchemua,,,,,,,
sauti,kuonekana ,,,,,,
kuzungumza,,,,,,,
kusimama. ,,,,,,,
kuanza,,,,,,,
kusema,Jimbo,hali,,,,,
kusoma,,,,,,,
kufaulu,,,,,,,
kupendekeza,,,,,,,
kusambaza,,,,,,,
kudhani,,,,,,,
kunusurika,,,,,,,
kufagia,kusomba,,,,,,
kuchukua,,,,,,,
kuzungumza,,,,,,,
kuambia,,,,,,,
,,,,,,,
kufikiria,,,,,,,
"kurusha, kutupa",,,,,,,
"kuguza, kushika",,,,,,,
kufundisha ,,,,,,,
kusafiri,,,,,,,
kutibu ,,,,,,,
kujaribu,,,,,,,
kugeuza,,,,,,,
kuelewa,,,,,,,
kutumia,,,,,,,
kutembelea,,,,,,,
kungoja,kusubiri,,,,,,
kutaka,kuhitaji,,,,,,
kutembea,,,,,,,
kutazama,saa,,,,,,
kushinda,,,,,,,
kujiuliza,,,,,,,
kuandika,,,,,,,
kukanda,,,,,,,
,,,,,,,
kukaanga,,,,,,,
kukanda,,,,,,,
kupiga pasi,chuma,kusuluhisha (iron out the difference),,,,,
kuchoma,kuunguza,,,,,,
