41,
Kudambulya ,
Palizi,
Panda,
Nokolya,
,
,
,
,
Msufi,
Muhogo,
Mahindi ,
Mnavu,
,
Mlenda,
Muyu,
Mabuyu,
Fenesi,
Kunazi,
Furu,
Zambarau,
,
,
,
,
,
,
Kitungulyu saumu,
,
,
,
Mikoko,
Myembe,
Mkunazi,
Mnazi,
Mgomba,
Muarubaini,mtunda
Mzambarau,
Mkorosho,mbimbo
,
Muasumini,
,
Muwaridi,
,
,
,
,
,
Mlihani,
Kivumbasi,
,
,
,
,
,
,
,
Mbalyazi,
Mkunde,
Dengu,
,
,
Pau,
Pili pili boga,
Kitango,
Kitango pepeta,
Tikiti,
Papai,
,
Yembe,
,
,
,
,
,
,
,
,
,
,
,
Mungunye,