82,
Vuna,
Palilia,
Panda,
,
Mkulima,
Tini,
Zaituni,
Katani,
Msufi,
Mhogo,
Mahindi,
Mchicha,
Mnavu,
Mlenda,
Mbuyu,
Buyu,
Mfenesi,
Kunazi,
Fuu,
Zambarau,
Kitoria,Kipo
Bungo,
Bamia,
Dania,
Katimiri,
Kitunguu maji,
Kitunguu thomu,
Tamata,
Tamata ya mkebe,
Mbatata,
Mikoko,
Muembe,
Mkunazi,
Mnazi,
Mgomba,
Mtunda ,muarubaini
Mzambarau,
Mkorosho,
Mkorosho,
Muasmini,
Mlua,
Muardi,
Matumba ya mawaridi,
Hiliki,
Mandano,
Karafuu,
Mkarafuu,
Mrehani,
Kivumbasi,
Tepekuzi,
Mkungu,
Kungu,
Zambarau,
Mdalasini,
Pilipili manga,
Komamanga,
Mbaazi,
Mkunde,
Dengu,
Ngano,
Pojo,
Pilipili,
Pilipili boga,
Tango,
Tango pepeta,
Tikiti,
Papai,
Ndizi,
Embe,
Kuti,
Ngoge,
Minyaa,
Nazi,
Mnazi,
Dafu,
Kitale,
Mbirimbi,
Zatari,
Giligilani,
habbatswaoda,
Kimumunye,