321,1510,(words and phrases),,,
kiri,kubali,tukuwa,ridhiya,,
pacha,faulu ,malidha,picha,timidha,malidha
ungama ,kubali ,chia ndani,,,
athiri,umia,,,,
wedha,,,,,
kubali,kiri,kubali ,,,
ruhusu,wata ,,,,
jibu ,,,,,
vudha,tafudha kadhi,,,,
shindana,shindana ,jibidhana,,,
panga,panga,,,,
kuya ,sikiliya,kuya,sikilia,,
vudha,vulidha,vulidha,,,
wata,itenga,ondoka,,,
kuva ,,,,,
anda,anda,anda,,,
amini,amini,,,,
jenga,jenga,,,,
nunuwa,nunuwa,,,,
icha,icha,bika simu,icha,,
jali,,,,,
beba,tukuwa,,,,
shika,,,,,
sababisha,,,,,
badilisha,badilika,,,,
angalia,angalia,,,,
taguwa,tauwa,,,,
,,,,,
safisha,,,,,
tukuwa,chwaa,,,,
kuya,,,,,
lalamika,,,,,
malidhika,malidha,,,,
ikivemo,,,,,
ikivemo,,,,,
endeleya,,,,,
changa,changiya,,,,
kinga,idhiviya,,,,
sahihisha,,,,,
garama,,,,,
wedha ,,,,,
vumba,,,,,
vuka,,,,,
kacha,,,,,
hasiri,,,,,
,,,,,
dhaa,peka,,,,
idha,yidha,,,,
tegemeya,chegemeya,,,,
eledha,,,,,
yuwa,yiva,malidha,hasiri,vunda,
endeleya,chengedha,,,,
poteya,,,,,
,,,,,
fanya,,,,,
vaa,,,,,
-nwa,,,,,
"peka, peka gari",,,,,
kula,,,,,
chiya moyo,,,,,
terema,,,,,
pachikana,,,,,
tarajiya,,,,,
udhoefu,,,,,
eledha,,,,,
eledha,,,,,
vuso,,,,,
anguka,,,,,
sikiya,hisi,,,,
tafuta,tafudha,,,,
malidha,chia kikomo,,,,
uka,,,,,
,,,,,
andama,,,,,
samehe,,,,,
unda,,,,,
pacha,,,,,
-pa,,,,,
-enda,,,,,
kuwa,,,,,
kuwa,tokea,,,,
kuva nacho,,,,,
sikiya,,,,,
saidiya,,,,,
fita,sita,,,,
shika,dhiviya,,,,
,,,,,
fikiriya,fikiriya,,,,
endeleya,,,,,
ongedha,,,,,
changiya,athiri,shawishi,,,
julisha,yudha,ambiya,,,
alika,,,,,
husika,,,,,
andama,unga,unganisha,,,
weka,,,,,
yuwa,yiva,,,,
dumu,,,,,
utesee,teka,,,,
soma,ifunda,,,,
toka,ondoka,itowa,wata,,
adhima,kopesha,,,,
penda,,,,,
weka mipaka,,,,,
sikiya,sikidha,,,,
ishi,,,,,
"vona, angalia",,,,,
penda,,,,,
fanya,chengedha,fanya,,,
kuva na umuhimu,,,,,
maanisha,,,,,
pima,,,,,
kuchana,tana,,,,
chaya,,,,,
jali,chia maanani,,,,
ndanenda,songedha,ondowa,,,
ladhima,,,,,
kuva na haja ya kichu,,,,,
-pa,terensha bei,,,,
funguwa,,,,,
agidha,,,,,
ndako,miliki,,,,
lipa,lipa,,,,
fanya,fanya kadhi,,,,
tedha,,,,,
ekedha,nyoshea kijaa,,,,
kubali,,,,,
ndafanya,tayarisha,,,,
bonyedha,,,,,
kinga,dhiviya,,,,
dhaa,panda,,,,
linda,,,,,
towa,,,,,
sukuma,,,,,
fika,sikiliya,,,,
soma,,,,,
pacha,,,,,
andika,,,,,
pungudha,,,,,
angalia,,,,,
nasibisha,,,,,
towa,,,,,
fahamu,kumbuka,,,,
ondowa,towa,,,,
rudiya,,,,,
badili,,,,,
jibu,,,,,
nena,nchu,,,,
jibu,,,,,
rudisha,,,,,
dhihirisha,,,,,
panda,panda,ongedheka,,,
kimbiya,,,,,
tuma,nusuru,chuma,,,
nena,,,,,
vona,,,,,
dhanya,,,,,
peka,chuma,peka,peka nguvo,peka salamu,peka sen'ti
,,,,,
avanya,hisa,,,,
bika,,,,,
vonyesha,,,,,
imba,,,,,
keti,,,,,
yala,iyala,,,,
cheledha,,,,,
teka,tabasamu,,,,
chemuwa,,,,,
sauti,,,,,
nena,,,,,
simama,nyuka,,,,
anda,,,,,
nena,,,,,
durusu,,,,,
fanikiwa,,,,,
pendekedha,,,,,
,,,,,
,,,,,
toka salama,,,,,
pea,piga upeo,,,,
tukuwa,twaa,,,,
ndanena,dhungumudha,nena,,,
ambiya,,,,,
,,,,,
fikiriya,fikiriya,dhani,,,
hora,uusa,mbiria,,,
shika,dara,,,,
funza,fundisha,,,,
safiri,,,,,
tibu,,,,,
jaribu,,,,,
dhinga,geudha,,,,
fahamu,elewa,fahamu,tanabahi,,
chumiya,,,,,
tembeleya,,,,,
ngoya,ngoja,,,,
taka,halagao,,,,
tembeya,,,,,
enga,,,,,
shinda,,,,,
ivulidha,,,,,
andika,,,,,
kanda,,,,,
chiya tabaki,chapachi,,,,
kaanga,,,,,
kanda,,,,,
bika pasi,,,,,
choma,ungudha,,,,
kokochedha,,,,,
vuma,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Vakwa,,,,,